uuid,type,cid,parent_subject,local_principal,start_timestamp,cmd_line,privilege_level,source
b'\x90\x90\xa5L\x86\x9aMZ\xa7u_2\x04\x8f\xdd\r',SUBJECT_THREAD,4216,b'ByF\xdd\r\xe8A\xe4\xa0\xaa\xeb\xe2\x99 \x0f\xb6',b'\xd7\x9c\x95+F\xaeF\xca\xb6\x93\xc3\xcb1T&\xd0',2019-05-07 11:10:49.024,,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'\xa2\n\x0f\xdd\x13hD\xde\x87\x95+z\xb5\x814\xa8',SUBJECT_PROCESS,5144,b'\xa4\xf1\xc6\xf7\x0fIF\xf7\xaa\xb5u\x16\x8bR\xce\r',b'\xd7\x9c\x95+F\xaeF\xca\xb6\x93\xc3\xcb1T&\xd0',2019-05-07 11:10:49.396,"""C:\WINDOWS\system32\SearchFilterHost.exe"" 0 740 744 752 8192 748 ",,SOURCE_WINDOWS_FIVEDIRECTIONS
"b""\x06\x90\xae\xecRiKR\x8e9\xf3\x8d\xa8*['""",SUBJECT_THREAD,3000,b'\xa2\n\x0f\xdd\x13hD\xde\x87\x95+z\xb5\x814\xa8',b'\xd7\x9c\x95+F\xaeF\xca\xb6\x93\xc3\xcb1T&\xd0',2019-05-07 11:10:50.034,,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'R\x991\x8a\xa8]O\xb5\x91\xc9\xcd\xfavce\xcc',SUBJECT_THREAD,4872,b'\xa2\n\x0f\xdd\x13hD\xde\x87\x95+z\xb5\x814\xa8',b'\xd7\x9c\x95+F\xaeF\xca\xb6\x93\xc3\xcb1T&\xd0',2019-05-07 11:10:50.039,,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'\xb6\x9d\xc6Q\xe6\x1dCC\xa61\xac\x8e\xfa\x129\xdc',SUBJECT_THREAD,4560,b'\xa2\n\x0f\xdd\x13hD\xde\x87\x95+z\xb5\x814\xa8',b'\xd7\x9c\x95+F\xaeF\xca\xb6\x93\xc3\xcb1T&\xd0',2019-05-07 11:10:50.050,,,SOURCE_WINDOWS_FIVEDIRECTIONS
b' \x86f\x86\xac\x9dA|\xa3A\xad1\xe4\xc7\xce$',SUBJECT_THREAD,7032,b'\xa2\n\x0f\xdd\x13hD\xde\x87\x95+z\xb5\x814\xa8',b'\xd7\x9c\x95+F\xaeF\xca\xb6\x93\xc3\xcb1T&\xd0',2019-05-07 11:10:50.063,,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'H$<\xa9doKz\xbf8\x1c\xa5[*\xa3]',SUBJECT_THREAD,7528,b'\xa2\n\x0f\xdd\x13hD\xde\x87\x95+z\xb5\x814\xa8',b'\xd7\x9c\x95+F\xaeF\xca\xb6\x93\xc3\xcb1T&\xd0',2019-05-07 11:10:50.063,,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'.\\A\x1d\xda@OL\xb5\xfdt\xb8\xa354=',SUBJECT_THREAD,1688,b'\xa2\n\x0f\xdd\x13hD\xde\x87\x95+z\xb5\x814\xa8',b'\xd7\x9c\x95+F\xaeF\xca\xb6\x93\xc3\xcb1T&\xd0',2019-05-07 11:10:50.064,,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'}>=\xcd}BA\xab\x84\xc8\xb0{\xeb{\xde\r',SUBJECT_THREAD,6832,b'ByF\xdd\r\xe8A\xe4\xa0\xaa\xeb\xe2\x99 \x0f\xb6',b'\xd7\x9c\x95+F\xaeF\xca\xb6\x93\xc3\xcb1T&\xd0',2019-05-07 11:10:50.441,,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'\x1e\xb4\x16\x15\x8e\xf0H\xe7\xb2u}m}N\x8f\xe6',SUBJECT_THREAD,6068,b'ByF\xdd\r\xe8A\xe4\xa0\xaa\xeb\xe2\x99 \x0f\xb6',b'\xd7\x9c\x95+F\xaeF\xca\xb6\x93\xc3\xcb1T&\xd0',2019-05-07 11:10:50.441,,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'H\xd5C\xe5\xc2\x1fJ\x95\xac\xd9{e\xa3\x0b3\x0b',SUBJECT_THREAD,2524,b'ByF\xdd\r\xe8A\xe4\xa0\xaa\xeb\xe2\x99 \x0f\xb6',b'\xd7\x9c\x95+F\xaeF\xca\xb6\x93\xc3\xcb1T&\xd0',2019-05-07 11:10:50.441,,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'\xd1ls0\xaf\x01G{\x98\xe0aI\x1d1x\xa5',SUBJECT_THREAD,8044,b'\xa2\n\x0f\xdd\x13hD\xde\x87\x95+z\xb5\x814\xa8',b'\xd7\x9c\x95+F\xaeF\xca\xb6\x93\xc3\xcb1T&\xd0',2019-05-07 11:10:50.443,,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'\x08\x85\xc4\x80\x89\xf0J\xf5\x9d#{%\x8aV\xf8\xcc',SUBJECT_THREAD,6700,b'ByF\xdd\r\xe8A\xe4\xa0\xaa\xeb\xe2\x99 \x0f\xb6',b'\xd7\x9c\x95+F\xaeF\xca\xb6\x93\xc3\xcb1T&\xd0',2019-05-07 11:10:50.873,,,SOURCE_WINDOWS_FIVEDIRECTIONS
"b""\xc0\x11\x8b\xd7E\x8e@(\x8fa\x17'oL\xa6u""",SUBJECT_THREAD,6380,b'ByF\xdd\r\xe8A\xe4\xa0\xaa\xeb\xe2\x99 \x0f\xb6',b'\xd7\x9c\x95+F\xaeF\xca\xb6\x93\xc3\xcb1T&\xd0',2019-05-07 11:10:50.884,,,SOURCE_WINDOWS_FIVEDIRECTIONS
"b""\x13\x8aQ\xf2/?K\xd6\x94k&\xc0P\xad'\xef""",SUBJECT_THREAD,7208,b'ByF\xdd\r\xe8A\xe4\xa0\xaa\xeb\xe2\x99 \x0f\xb6',b'\xd7\x9c\x95+F\xaeF\xca\xb6\x93\xc3\xcb1T&\xd0',2019-05-07 11:10:50.923,,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'r\x16\xbf\x97\x9a\xc1J\xb1\x84$|L\xcc\xd1X\xdc',SUBJECT_THREAD,4292,b'sb\xfc\x0bJQC\xb7\x85\xcb\xf0`h\t\xfaM',None,2019-05-07 11:10:51.046,,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'B$\xe5\x8c\xef\x9eI!\x81 \xd1\xdc\x94\xd1\xfa\xf8',SUBJECT_THREAD,700,b'\x88\x9b\xf6\x1c\x87\xd6B\\\xa7\xfc\xa4\x1bx\x05\x90e',None,2019-05-07 11:10:57.785,,,SOURCE_WINDOWS_FIVEDIRECTIONS
"b'\x8a\x14\x85\x99\xa7,C\x86\x99\xde\x89\xe8\x93\x08\x05n'",SUBJECT_THREAD,3200,b'\x88\x9b\xf6\x1c\x87\xd6B\\\xa7\xfc\xa4\x1bx\x05\x90e',None,2019-05-07 11:10:57.786,,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'#I\x11\x0c\x89#O\xaa\xad\x17\x13_u\x80\xdaw',SUBJECT_THREAD,6516,b'\x88\x9b\xf6\x1c\x87\xd6B\\\xa7\xfc\xa4\x1bx\x05\x90e',None,2019-05-07 11:10:57.786,,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'\xcd\xc4n\x15TFI\xe2\xb9\xebh\t\x0e\x11Yw',SUBJECT_THREAD,4144,b'\x1a\xebT\x10\xe4\xc5I\x06\xbb0\xbb\x93Dp/\xaf',None,2019-05-07 11:10:58.219,,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'\xd6\xf7>Lg\x85J\r\x9c3\xc6\x15Q:\x14\xf7',SUBJECT_THREAD,4616,b'\x1a\xebT\x10\xe4\xc5I\x06\xbb0\xbb\x93Dp/\xaf',None,2019-05-07 11:10:58.234,,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'\xb4|\x1ea7\xa6K\x99\x82\x1c\x9a\xe1\xc1\x94\xf7\xb4',SUBJECT_THREAD,3948,b'\x7f\x86\xa5qZ\xbfI\x11\x8b\xd2\xfc\xe3W0[\xc0',None,2019-05-07 11:10:59.881,,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'\xc0\x0fZ\xf4\x1b\x90@t\xb2X\x93r\x19\xb5\xf19',SUBJECT_THREAD,4380,b'\xb1>\x12\xfa#\x03M\xbd\xaa\x95\xc9\x01\xb4\xee\xcd!',None,2019-05-07 11:11:00.362,,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'\xbf\xa2G\x8f\tsL\xb7\x8c\x0c\x8d\xefa\xcaz\x01',SUBJECT_THREAD,3632,b'%\xc1\x8f\x07CS@\xf7\xbf\xb0y\x86>\x82\xc4\xf6',None,2019-05-07 11:11:00.373,,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'\xa2\xc9T\xac\x9e\x9bB\x83\xb8\xd9n\x07{\xe1\x1e`',SUBJECT_THREAD,4676,b'\x93\x8d\xa7\x94}\x0fN\xef\x8b]9\xec\x11\x82\xac2',b'\x04.\xf9\x0b\x17\x8eC\xd4\x90\x10k6\xc1(\xaf\x1b',2019-05-07 11:11:01.162,,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'\x02p5\x1eU\x1dDJ\xae\xf3<\x89f?\xfa\x83',SUBJECT_THREAD,8104,b'\x93\x8d\xa7\x94}\x0fN\xef\x8b]9\xec\x11\x82\xac2',b'\x04.\xf9\x0b\x17\x8eC\xd4\x90\x10k6\xc1(\xaf\x1b',2019-05-07 11:11:01.172,,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'\xf6-~\xa5\xe7vL?\xaer!\xdf\xc1\xd9l\xd3',SUBJECT_THREAD,6448,b'\x93\x8d\xa7\x94}\x0fN\xef\x8b]9\xec\x11\x82\xac2',b'\x04.\xf9\x0b\x17\x8eC\xd4\x90\x10k6\xc1(\xaf\x1b',2019-05-07 11:11:01.580,,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'+]\xdej\x07\x03L\x9f\xa0\x98\xc4\xc4\x87\x81\xcd\xae',SUBJECT_THREAD,6816,b'b\x87\xe1\xe6\xb0mKZ\xbc<\x1e6\xcb\xca\xe7\x14',None,2019-05-07 11:11:02.197,,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'\xbc\xc7\xbblF\xedMO\xa5\t]-\x8e\x90\xe5r',SUBJECT_THREAD,7864,b'b\x87\xe1\xe6\xb0mKZ\xbc<\x1e6\xcb\xca\xe7\x14',None,2019-05-07 11:11:02.548,,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'\xd4\xbd\x1b\xca\x12\xfdG\x0f\xb2\xcd-\xd77\x1c\xde\xad',SUBJECT_THREAD,3340,b'\x1a\xebT\x10\xe4\xc5I\x06\xbb0\xbb\x93Dp/\xaf',None,2019-05-07 11:11:02.650,,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'\xd6\x86\x82\xfd\xdb^O1\xb8\x8e\xf0\x04\xaa?\x80P',SUBJECT_PROCESS,3872,b'\xb9\xd2\xbc\x93\xf9\xb4N\xff\xa1\xf8\xfb`\xcf>*\x1b',b'\xd7\x9c\x95+F\xaeF\xca\xb6\x93\xc3\xcb1T&\xd0',2019-05-07 11:11:03.395,C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s WdiSystemHost,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'\x1cmz\xd0\x01\x0fLv\xb7\xe7\xbfDdh\xfb\x05',SUBJECT_THREAD,7388,b'\xd6\x86\x82\xfd\xdb^O1\xb8\x8e\xf0\x04\xaa?\x80P',b'\xd7\x9c\x95+F\xaeF\xca\xb6\x93\xc3\xcb1T&\xd0',2019-05-07 11:11:03.424,,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'\x92\xdb\x82\xe5i<@\xeb\x8f\xd5\tz#\x18\x95\xcd',SUBJECT_THREAD,768,b'\xd6\x86\x82\xfd\xdb^O1\xb8\x8e\xf0\x04\xaa?\x80P',b'\xd7\x9c\x95+F\xaeF\xca\xb6\x93\xc3\xcb1T&\xd0',2019-05-07 11:11:03.591,,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'\x87\x19\xe9\xd9H\x0cM\xa5\xba\x8b\x90\x17\xcb\xa5b\xdb',SUBJECT_THREAD,7764,b'\xd6\x86\x82\xfd\xdb^O1\xb8\x8e\xf0\x04\xaa?\x80P',b'\xd7\x9c\x95+F\xaeF\xca\xb6\x93\xc3\xcb1T&\xd0',2019-05-07 11:11:03.601,,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'\xdc[\x82\xb1\xd3\xbaB\x0c\x94bp}\x1c\x04\x1e9',SUBJECT_THREAD,7316,b'\xd6\x86\x82\xfd\xdb^O1\xb8\x8e\xf0\x04\xaa?\x80P',b'\xd7\x9c\x95+F\xaeF\xca\xb6\x93\xc3\xcb1T&\xd0',2019-05-07 11:11:03.607,,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'\x08\xacf\xb3\xe34I\x1b\xbf8\xe9\xd4\xebt\x92\xb6',SUBJECT_THREAD,6128,b'\xd6\x86\x82\xfd\xdb^O1\xb8\x8e\xf0\x04\xaa?\x80P',b'\xd7\x9c\x95+F\xaeF\xca\xb6\x93\xc3\xcb1T&\xd0',2019-05-07 11:11:03.645,,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'\xf9\xca\t9\x8eRG\x08\x9a\x97\xb0J\x87\x9eS\xd2',SUBJECT_THREAD,1328,b'c;\xb1\xb6\x0eZO\xf9\xa4\x81\x91\x18\x9f\xb4\xcf\xff',None,2019-05-07 11:11:03.651,,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'\t\x0e\x0bP~\x92@\x01\x89\xfb(\xdb4\xf9/\x85',SUBJECT_THREAD,3852,b'\x88\x9b\xf6\x1c\x87\xd6B\\\xa7\xfc\xa4\x1bx\x05\x90e',None,2019-05-07 11:11:06.706,,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'\xaa\x07\x83\xe03\x12I\x1e\x9fe\xcf\x98\xd1\x91\xde2',SUBJECT_THREAD,3792,b'\xa2\n\x0f\xdd\x13hD\xde\x87\x95+z\xb5\x814\xa8',b'\xd7\x9c\x95+F\xaeF\xca\xb6\x93\xc3\xcb1T&\xd0',2019-05-07 11:11:09.325,,,SOURCE_WINDOWS_FIVEDIRECTIONS
b'i@\xb2\xf9\xb1\xfaI\x87\xb1\xe2{\x9d\x01\xf9\xf4\xee',SUBJECT_THREAD,2324,b'\xa2\n\x0f\xdd\x13hD\xde\x87\x95+z\xb5\x814\xa8',b'\xd7\x9c\x95+F\xaeF\xca\xb6\x93\xc3\xcb1T&\xd0',2019-05-07 11:11:09.337,,,SOURCE_WINDOWS_FIVEDIRECTIONS
"b'\xa5\x88\xca06\xc9C\x15\x8b\x18\xbcw""O\x18\x8f'",SUBJECT_THREAD,5568,b'\xa2\n\x0f\xdd\x13hD\xde\x87\x95+z\xb5\x814\xa8',b'\xd7\x9c\x95+F\xaeF\xca\xb6\x93\xc3\xcb1T&\xd0',2019-05-07 11:11:09.361,,,SOURCE_WINDOWS_FIVEDIRECTIONS
